count,1,2,3,4,5,6,7,person,amount
419,2,11,13,14,28,30,7,3,"3,796,490,750"
420,4,9,10,29,31,34,27,8,"1,424,856,375"
421,6,11,26,27,28,44,30,5,"2,321,144,325"
422,8,15,19,21,34,44,12,6,"2,205,251,375"
423,1,17,27,28,29,40,5,3,"3,896,153,875"
424,10,11,26,31,34,44,30,10,"1,109,480,813"
425,8,10,14,27,33,38,3,8,"1,534,833,000"
426,4,17,18,27,39,43,19,4,"3,057,233,625"
427,6,7,15,24,28,30,21,1,"12,571,445,625"
428,12,16,19,22,37,40,8,9,"1,437,683,209"
429,3,23,28,34,39,42,16,9,"1,485,904,709"
430,1,3,16,18,30,34,44,8,"1,611,763,219"
431,18,22,25,31,38,45,6,10,"1,268,434,013"
432,2,3,5,11,27,39,33,5,"2,299,427,550"
433,19,23,29,33,35,43,27,11,"1,182,294,410"
434,3,13,20,24,33,37,35,8,"1,480,060,266"
435,8,16,26,30,38,45,42,10,"1,287,550,013"
436,9,14,20,22,33,34,28,8,"1,512,266,579"
437,11,16,29,38,41,44,21,6,"2,096,245,438"
438,6,12,20,26,29,38,45,9,"1,377,142,167"
439,17,20,30,31,37,40,25,6,"1,900,077,375"
440,10,22,28,34,36,44,2,6,"1,995,873,000"
441,1,23,28,30,34,35,9,4,"3,170,417,063"
442,25,27,29,36,38,40,41,9,"1,413,413,042"
443,4,6,10,19,20,44,14,9,"1,327,597,584"
444,11,13,23,35,43,45,17,3,"4,154,188,625"
445,13,20,21,30,39,45,32,7,"1,791,683,036"
446,1,11,12,14,26,35,6,3,"4,051,247,625"
447,2,7,8,9,17,33,34,4,"2,657,941,125"
448,3,7,13,27,40,41,36,3,"4,026,212,750"
449,3,10,20,26,35,43,36,3,"4,059,715,250"
450,6,14,19,21,23,31,13,6,"1,990,391,625"
451,12,15,20,24,30,38,29,13,"882,138,952"
452,8,10,18,30,32,34,27,9,"1,276,902,000"
453,12,24,33,38,40,42,30,5,"2,262,732,375"
454,13,25,27,34,38,41,10,7,"1,609,125,590"
455,4,19,20,26,30,35,24,7,"1,635,711,483"
456,1,7,12,18,23,27,44,7,"1,598,505,054"
457,8,10,18,23,27,40,33,10,"1,159,902,825"
458,4,9,10,32,36,40,18,8,"1,608,812,625"
459,4,6,10,14,25,40,12,7,"1,655,842,233"
460,8,11,28,30,43,45,41,4,"3,180,895,782"
461,11,18,26,31,37,40,43,6,"1,948,674,875"
462,3,20,24,32,37,45,4,8,"1,483,559,297"
463,23,29,31,33,34,44,40,0,0
464,6,12,15,34,42,44,4,13,"3,355,721,106"
465,1,8,11,13,22,38,31,7,"1,923,662,893"
466,4,10,13,23,32,44,20,9,"1,530,313,459"
467,2,12,14,17,24,40,39,9,"1,435,441,084"
468,8,13,15,28,37,43,17,9,"1,527,197,167"
469,4,21,22,34,37,38,33,4,"3,330,131,250"
470,10,16,20,39,41,42,27,3,"4,333,330,625"
471,6,13,29,37,39,41,43,7,"1,939,332,858"
472,16,25,26,31,36,43,44,7,"1,809,656,090"
473,8,13,20,22,23,36,34,4,"3,250,418,063"
474,4,13,18,31,33,45,43,15,"936,690,800"
475,1,9,14,16,21,29,3,8,"1,693,923,047"
476,9,12,13,15,37,38,27,4,"3,439,851,469"
477,14,25,29,32,33,45,37,8,"1,919,011,829"
478,18,29,30,37,39,43,8,14,"987,224,759"
479,8,23,25,27,35,44,24,6,"2,233,046,500"
480,3,5,10,17,30,31,16,4,"2,996,742,282"
481,3,4,23,29,40,41,20,3,"4,639,355,750"
482,1,10,16,24,25,35,43,7,"1,897,921,179"
483,12,15,19,22,28,34,5,5,"2,567,196,675"
484,1,3,27,28,32,45,11,6,"2,305,303,063"
485,17,22,26,27,36,39,20,9,"1,501,474,917"
486,1,2,23,25,38,40,43,13,"1,008,634,125"
487,4,8,25,27,37,41,21,8,"1,638,830,766"
488,2,8,17,30,31,38,25,10,"1,330,393,575"
489,2,4,8,15,20,27,11,6,"2,106,360,625"
490,2,7,26,29,40,43,42,7,"1,860,234,161"
491,8,17,35,36,39,42,4,4,"3,304,634,438"
492,22,27,31,35,37,40,42,5,"2,493,013,800"
493,20,22,26,33,36,37,25,9,"1,451,120,334"
494,5,7,8,15,30,43,22,12,"1,054,588,407"
495,4,13,22,27,34,44,6,6,"2,111,645,000"
496,4,13,20,29,36,41,39,4,"3,285,932,250"
497,19,20,23,24,43,44,13,6,"2,222,817,813"
498,13,14,24,32,39,41,3,4,"3,244,503,094"
499,5,20,23,27,35,40,43,3,"4,070,480,250"
500,3,4,12,20,24,34,41,9,"1,351,072,375"
